id,nombre,descripcion,tipo,nivel_dificultad,puntos_base,multiplicador_dificultad,bonus_tiempo,habilidades_requeridas,tiempo_limite,memoria_limite,fuente,año_competencia,tasa_resolucion_historica,problemas_prerequisito,problemas_relacionados,lenguajes_recomendados,penalizacion_tiempo
21,Suffix Array con LCP,Construir estructura optimizada para procesamiento avanzado de strings con complejidad lineal,optimizacion,muy_dificil,600,2.8,120,strings:0.95;estructuras_datos:0.9,240,512,IOI Finals,2022,0.15,15;20,32;33,C++;Java,50
22,Algoritmo de Aho-Corasick,Implementar autómata finito para búsqueda múltiple de patrones en texto simultáneamente,busqueda,dificil,520,2.5,100,strings:0.95;estructuras_datos:0.85,200,256,String Matching Advanced,2023,0.22,15,21;34,C++;Java,40
23,Centroid Decomposition,Descomponer árbol usando centroides para optimizar consultas logarítmicas en estructuras arbóreas,optimizacion,muy_dificil,650,3.0,130,grafos:0.98;estructuras_datos:0.9,300,512,Tree Algorithms Expert,2022,0.12,18;17,35;36,C++,55
24,FFT para multiplicación,Usar Fast Fourier Transform para optimizar multiplicación de polinomios con complejidad NlogN,matematica,muy_dificil,700,3.0,140,matematicas:0.95;cpp:0.8,280,512,Advanced Mathematics,2023,0.08,17,37;38,C++;Python,60
25,Persistent Segment Tree,Implementar árbol de segmentos persistente para optimización de consultas históricas con versionado,optimizacion,dificil,580,2.6,110,estructuras_datos:0.95;programacion_dinamica:0.7,220,1024,Advanced Data Structures,2022,0.18,17,39;40,C++,45
26,Matroid Intersection,Resolver intersección de matroides usando algoritmos de optimización combinatoria avanzada,matematica,muy_dificil,750,3.0,150,matematicas:0.98;grafos:0.8,360,512,Combinatorial Optimization,2021,0.05,19,41;42,C++,65
27,Convex Hull Trick,Optimizar programación dinámica usando técnica geométrica de hull convexo para consultas rápidas,optimizacion,dificil,540,2.4,105,programacion_dinamica:0.9;geometria:0.8,190,256,DP Optimization,2023,0.20,18,43;44,C++;Python,40
28,Link-Cut Tree,Implementar estructura dinámica para árboles con operaciones de corte y enlace en tiempo logarítmico,optimizacion,muy_dificil,680,2.9,135,estructuras_datos:0.98;grafos:0.85,320,1024,Dynamic Trees,2022,0.10,25,45;46,C++,55
29,Máximo matching bipartito,Resolver optimización de emparejamiento máximo en grafo bipartito usando Hopcroft-Karp,optimizacion,dificil,500,2.3,95,grafos:0.95;matematicas:0.7,180,256,Bipartite Matching,2023,0.25,19,47;48,C++;Java,38
30,Geometría computacional 3D,Resolver problemas de optimización geométrica en 3D con hull convexo e intersecciones complejas,matematica,muy_dificil,720,3.0,145,geometria:0.98;matematicas:0.9,350,512,Computational Geometry 3D,2021,0.07,24,49;50,C++;Python,62
